raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group,sum,sum_city,population_density
193,Иркутская область,Боханская,119,0,17615,4,119,4046,0.03
456,Иркутская область,Нукутская,258,7,11367,4,265,4046,0.07
1505,Иркутская область,"Иркутск, Иркутская городская № 4",503,16,151178,6,519,4046,0.13
486,Иркутская область,Тайшетская,222,5,55606,5,227,4046,0.06
1230,Иркутская область,Усольская,378,8,35763,4,386,4046,0.1
111,Иркутская область,Бодайбинская,104,2,15741,4,106,4046,0.03
1409,Иркутская область,Братская городская,472,15,165865,6,487,4046,0.12
1523,Иркутская область,Усть-Илимская городская,524,23,60439,5,547,4046,0.14
802,Кабардино-Балкарская Республика,Лескенская,671,1,17890,4,672,1946,0.35
1407,Кабардино-Балкарская Республика,Прохладненская городская,1274,0,36133,4,1274,1946,0.65
3153,Калининградская область,Гурьевская 97,1955,42,56576,5,1997,3356,0.6
761,Калининградская область,Пионерская,286,6,10755,4,292,3356,0.09
2300,Калининградская область,"Калининград, Московская",844,33,139366,5,877,3356,0.26
375,Калининградская область,Озерская,183,7,10267,4,190,3356,0.06
2482,Калужская область,"Калуга, Ленинская",927,15,117497,5,942,2757,0.34
2452,Калужская область,Обнинская городская,1010,16,90887,5,1026,2757,0.37
1518,Калужская область,Боровская,637,17,47647,4,654,2757,0.24
550,Калужская область,"Калуга, Октябрьская",134,1,80873,5,135,2757,0.05
1104,Камчатский край,Вилючинская,544,22,15812,4,566,586,0.97
20,Камчатский край,Петропавловск-Камчатская (судовая),20,0,6720,4,20,586,0.03
884,Карачаево-Черкесская Республика,Зеленчукская,802,6,35629,4,808,1636,0.49
951,Карачаево-Черкесская Республика,Хабезская,814,14,18565,4,828,1636,0.51
146,Кемеровская область - Кузбасс,Ижморская,126,4,9469,4,130,8450,0.02
81,Кемеровская область - Кузбасс,Мариинская,58,2,36816,4,60,8450,0.01
1411,Кемеровская область - Кузбасс,Юргинская городская,1105,17,59553,5,1122,8450,0.13
1105,Кемеровская область - Кузбасс,Киселевская городская,934,18,70147,5,952,8450,0.11
402,Кемеровская область - Кузбасс,Новокузнецкая,311,8,34600,4,319,8450,0.04
70,Кемеровская область - Кузбасс,Прокопьевская,61,2,21354,4,63,8450,0.01
2111,Кемеровская область - Кузбасс,"Кемерово, Заводская",1500,30,107506,5,1530,8450,0.18
1329,Кемеровская область - Кузбасс,Полысаевская городская,1004,13,21581,4,1017,8450,0.12
1378,Кемеровская область - Кузбасс,Калтанская городская,1033,39,22662,4,1072,8450,0.13
3679,Кемеровская область - Кузбасс,"Новокузнецк, Центральная",2127,58,124019,5,2185,8450,0.26
122,Кировская область,Афанасьевская,89,1,9969,4,90,3500,0.03
1894,Кировская область,"Киров, Октябрьская 2",831,23,61943,5,854,3500,0.24
966,Кировская область,Омутнинская,438,15,30044,4,453,3500,0.13
2325,Кировская область,Слободская городская,874,30,25768,4,904,3500,0.26
199,Кировская область,Кильмезская,133,3,9888,4,136,3500,0.04
1014,Кировская область,Кирово-Чепецкая,493,14,18823,4,507,3500,0.14
639,Кировская область,Санчурская,380,5,7015,4,385,3500,0.11
262,Кировская область,Яранская,170,1,20260,4,171,3500,0.05
502,Костромская область,Костромская,169,4,34652,4,173,1252,0.14
267,Костромская область,Макарьевская,161,1,11328,4,162,1252,0.13
2431,Костромская область,Солигаличская,897,20,7634,4,917,1252,0.73
2743,Краснодарский край,"Краснодар, Западная",1089,18,141080,5,1107,18448,0.06
1988,Краснодарский край,"Краснодар, Центральная",912,2,123970,5,914,18448,0.05
2495,Краснодарский край,"Краснодар, Калининская",907,0,212366,6,907,18448,0.05
550,Краснодарский край,Тимашевская,497,2,77749,5,499,18448,0.03
2584,Краснодарский край,Крымская,2425,29,98401,5,2454,18448,0.13
1097,Краснодарский край,Темрюкская,1043,0,88914,5,1043,18448,0.06
1653,Краснодарский край,"Новороссийск, Приморская",1125,19,62542,5,1144,18448,0.06
1833,Краснодарский край,Туапсинская городская,957,17,47128,4,974,18448,0.05
467,Краснодарский край,Белореченская,370,5,84068,5,375,18448,0.02
1124,Краснодарский край,"Сочи, Лазаревская",544,3,74134,5,547,18448,0.03
1454,Краснодарский край,Выселковская,1107,15,46381,4,1122,18448,0.06
695,Краснодарский край,Новопокровская,621,4,32299,4,625,18448,0.03
1734,Краснодарский край,Усть-Лабинская,1238,22,78493,5,1260,18448,0.07
1851,Краснодарский край,Курганинская,1357,38,68901,5,1395,18448,0.08
508,Краснодарский край,Новокубанская,474,0,63316,5,474,18448,0.03
1268,Краснодарский край,Ейская городская,577,15,72697,5,592,18448,0.03
2976,Краснодарский край,Кущевская,1738,50,50525,5,1788,18448,0.1
1398,Краснодарский край,Староминская,1210,18,30751,4,1228,18448,0.07
2471,Красноярский край,Канская городская,843,33,65783,5,876,5808,0.15
1634,Красноярский край,"Красноярск, Свердловская",552,12,102730,5,564,5808,0.1
375,Красноярский край,Ачинская,123,9,12142,4,132,5808,0.02
1489,Красноярский край,Железногорская городская,674,10,149665,5,684,5808,0.12
1582,Красноярский край,"Красноярск, Центральная",724,26,60694,5,750,5808,0.13
55,Красноярский край,Идринская,36,0,8958,4,36,5808,0.01
1312,Красноярский край,Курагинская,410,17,34676,4,427,5808,0.07
431,Красноярский край,Назаровская,230,6,14304,4,236,5808,0.04
1092,Красноярский край,Шушенская,438,11,26034,4,449,5808,0.08
1652,Красноярский край,Богучанская,319,335,29818,4,654,5808,0.11
175,Красноярский край,Иланская,92,2,16608,4,94,5808,0.02
1446,Красноярский край,Норильская городская,637,21,109141,5,658,5808,0.11
354,Красноярский край,Таймырская Долгано-Ненецкая №2,247,1,3485,3,248,5808,0.04
607,Курганская область,Варгашинская,342,6,14167,4,348,2174,0.16
350,Курганская область,Кетовская,149,0,42472,4,149,2174,0.07
1842,Курганская область,"Курган, Западная",614,10,132571,5,624,2174,0.29
115,Курганская область,Мокроусовская,75,2,8612,4,77,2174,0.04
1023,Курганская область,Шадринская,681,10,20947,4,691,2174,0.32
550,Курганская область,Щучанская,278,7,16610,4,285,2174,0.13
281,Курская область,Золотухинская,145,4,16331,4,149,1640,0.09
554,Курская область,Курская -109,282,2,17559,4,284,1640,0.17
255,Курская область,Поныровская,187,0,8843,4,187,1640,0.11
123,Курская область,Глушковская,110,0,16773,4,110,1640,0.07
1634,Курская область,"Курск, Сеймская",619,12,103288,5,631,1640,0.38
141,Курская область,Пристенская,100,3,11560,4,103,1640,0.06
264,Курская область,Черемисиновская,174,2,7504,4,176,1640,0.11
2405,Ленинградская область,Всеволожская,1148,31,315637,6,1179,4551,0.26
2245,Ленинградская область,Кировская,852,31,226653,6,883,4551,0.19
815,Ленинградская область,Гатчинская 112,478,8,104308,5,486,4551,0.11
1481,Ленинградская область,Лужская,1150,28,59827,5,1178,4551,0.26
1857,Ленинградская область,Гатчинская 113,547,12,58466,5,559,4551,0.12
467,Ленинградская область,Тихвинская,254,12,56274,5,266,4551,0.06
1275,Липецкая область,Елецкая,963,11,21693,4,974,3160,0.31
239,Липецкая область,Лев-Толстовская,150,3,12155,4,153,3160,0.05
357,Липецкая область,Становлянская,290,9,13488,4,299,3160,0.09
264,Липецкая область,Долгоруковская,176,1,13899,4,177,3160,0.06
2205,Липецкая область,"Липецк, Октябрьская №1",732,30,99293,5,762,3160,0.24
901,Липецкая область,Хлевенская,795,0,15658,4,795,3160,0.25
2162,Московская область,Балашихинская городская,1816,51,372068,6,1867,18418,0.1
1328,Московская область,Мытищинская городская,513,10,183098,6,523,18418,0.03
458,Московская область,Дмитровcкая городская,208,0,129334,5,208,18418,0.01
2352,Московская область,Лобненская городская,571,32,72930,5,603,18418,0.03
3119,Московская область,Химкинская городская,700,14,190646,6,714,18418,0.04
932,Московская область,Егорьевская городская,565,12,76862,5,577,18418,0.03
1074,Московская область,Луховицкая городская,488,20,48535,4,508,18418,0.03
1304,Московская область,Клинская городская,482,10,102568,5,492,18418,0.03
1714,Московская область,Красногорская городская,877,13,194268,6,890,18418,0.05
1093,Московская область,Шаховская городская,483,18,18851,4,501,18418,0.03
1339,Московская область,Люберецкая городская,820,14,253893,6,834,18418,0.05
2689,Московская область,Раменская городская,1446,22,81631,5,1468,18418,0.08
705,Московская область,Можайская городская,342,15,55280,5,357,18418,0.02
2322,Московская область,Одинцовская городская,757,34,147882,5,791,18418,0.04
1044,Московская область,Рузская городская,374,15,52134,5,389,18418,0.02
1457,Московская область,Павлово-Посадская городская,966,6,63270,5,972,18418,0.05
1096,Московская область,Электростальская городская,419,17,113288,5,436,18418,0.02
1833,Московская область,Ленинская городская,396,19,145166,5,415,18418,0.02
1787,Московская область,Подольская городская,681,22,265305,6,703,18418,0.04
1987,Московская область,Пушкинская городская,1008,8,165042,6,1016,18418,0.06
1362,Московская область,Сергиево-Посадская городская,486,9,186649,6,495,18418,0.03
1391,Московская область,Протвинская городская,598,50,28144,4,648,18418,0.04
1608,Московская область,Ступинская городская,956,33,86407,5,989,18418,0.05
1235,Московская область,Богородская городская,663,6,169141,6,669,18418,0.04
2268,Московская область,Фрязинская городская,946,28,46717,4,974,18418,0.05
918,Московская область,Электростальская городская (округ 127),356,23,6338,4,379,18418,0.02
1210,Мурманская область,Мончегорская,384,13,33968,4,397,802,0.5
