index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group
17174,1104,Камчатский край,Вилючинская,544,22,15812,4
17336,20,Камчатский край,Петропавловск-Камчатская (судовая),20,0,6720,4
17498,884,Карачаево-Черкесская Республика,Зеленчукская,802,6,35629,4
17660,951,Карачаево-Черкесская Республика,Хабезская,814,14,18565,4
17822,146,Кемеровская область - Кузбасс,Ижморская,126,4,9469,4
17984,81,Кемеровская область - Кузбасс,Мариинская,58,2,36816,4
18146,1411,Кемеровская область - Кузбасс,Юргинская городская,1105,17,59553,5
18308,1105,Кемеровская область - Кузбасс,Киселевская городская,934,18,70147,5
18470,402,Кемеровская область - Кузбасс,Новокузнецкая,311,8,34600,4
18632,70,Кемеровская область - Кузбасс,Прокопьевская,61,2,21354,4
18794,2111,Кемеровская область - Кузбасс,"Кемерово, Заводская",1500,30,107506,5
18956,1329,Кемеровская область - Кузбасс,Полысаевская городская,1004,13,21581,4
19118,1378,Кемеровская область - Кузбасс,Калтанская городская,1033,39,22662,4
19280,3679,Кемеровская область - Кузбасс,"Новокузнецк, Центральная",2127,58,124019,5
19442,122,Кировская область,Афанасьевская,89,1,9969,4
19604,1894,Кировская область,"Киров, Октябрьская 2",831,23,61943,5
19766,966,Кировская область,Омутнинская,438,15,30044,4
19928,2325,Кировская область,Слободская городская,874,30,25768,4
20090,199,Кировская область,Кильмезская,133,3,9888,4
20252,1014,Кировская область,Кирово-Чепецкая,493,14,18823,4
20414,639,Кировская область,Санчурская,380,5,7015,4
20576,262,Кировская область,Яранская,170,1,20260,4
20738,502,Костромская область,Костромская,169,4,34652,4
20900,267,Костромская область,Макарьевская,161,1,11328,4
21062,2431,Костромская область,Солигаличская,897,20,7634,4
21224,2743,Краснодарский край,"Краснодар, Западная",1089,18,141080,5
21386,1988,Краснодарский край,"Краснодар, Центральная",912,2,123970,5
21548,2495,Краснодарский край,"Краснодар, Калининская",907,0,212366,6
21710,550,Краснодарский край,Тимашевская,497,2,77749,5
21872,2584,Краснодарский край,Крымская,2425,29,98401,5
22034,1097,Краснодарский край,Темрюкская,1043,0,88914,5
22196,1653,Краснодарский край,"Новороссийск, Приморская",1125,19,62542,5
22358,1833,Краснодарский край,Туапсинская городская,957,17,47128,4
22520,467,Краснодарский край,Белореченская,370,5,84068,5
