index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group,Группа
40913,984,Омская область,Таврическая,486,17,26642,4,1
25283,2142,Красноярский край,Назаровская городская,987,30,38874,4,1
25007,1653,Красноярский край,"Красноярск, Железнодорожная",711,17,65320,5,1
74290,981,Свердловская область,Краснотурьинская городская,530,9,44478,4,1
28462,701,Ленинградская область,Выборгская,298,14,149094,5,1
50521,172,Республика Башкортостан,Кушнаренковская,161,4,22376,4,1
23778,1153,Краснодарский край,Крыловская,961,8,25112,4,1
30213,76,Магаданская область,Ольская,60,2,4962,3,1
41142,2757,Омская область,"Омск, Советская",995,36,183999,6,1
44545,2669,Пензенская область,Пензенская,1673,23,54842,5,1
54158,1913,Республика Дагестан,"Махачкала, Советская",1609,0,91173,5,1
52378,151,Республика Башкортостан,Стерлибашевская,148,0,15252,4,1
89756,2212,Ярославская область,"Ярославль, Дзержинская",596,11,117074,5,1
12785,1871,Ивановская область,"Иваново, Октябрьская",507,14,67552,5,1
75084,134,Смоленская область,Краснинская,69,0,20783,4,1
60049,674,Республика Саха (Якутия),Мегино-Кангаласская,509,9,23607,4,1
96267,1989,город Севастополь,Ленинская,1315,16,245986,6,1
82637,266,Удмуртская Республика,Можгинская,159,2,19513,4,1
48473,1884,Приморский край,Тернейская,1106,25,8957,4,1
28281,2019,Ленинградская область,Всеволожская,1332,4,315637,6,1
74209,1358,Свердловская область,Волчанская городская,861,26,7112,4,1
10823,260,Воронежская область,"Воронеж, Коминтерновская",256,4,235736,6,1
36516,1776,Нижегородская область,"Нижний Новгород, Автозаводская Южная",459,16,115667,5,1
32937,1536,Московская область,Домодедовская городская,929,20,142017,5,1
17023,1248,Калужская область,Кировская,511,16,226653,6,1
28372,2347,Ленинградская область,Всеволожская,574,9,315637,6,1
4566,1053,Белгородская область,Прохоровская,645,21,21049,4,1
70422,682,Саратовская область,Ивантеевская,437,10,10721,4,1
59568,166,Республика Мордовия,Ромодановская,136,0,14116,4,1
80492,2228,Тульская область,"Тула, Пролетарская",905,34,115072,5,1
76851,134,Тамбовская область,Первомайская,124,0,124760,5,1
26881,176,Курганская область,Частоозерская,133,1,4092,3,1
65902,2100,Ростовская область,Миллеровская,554,14,48605,4,1
68816,2246,Самарская область,"Самара, Кировская",716,146,175908,6,1
59245,657,Республика Мордовия,Ичалковская,510,0,13874,4,1
31675,1698,Московская область,Солнечногорская городская,536,26,118603,5,1
28792,429,Ленинградская область,Лужская,153,3,59827,5,1
49272,1857,Республика Адыгея (Адыгея),Майкопская городская,851,14,131966,5,1
5336,352,Белгородская область,Шебекинская,245,9,69611,5,1
87670,2287,Чеченская Республика,Аргунская городская,2254,3,30769,4,1
43455,130,Орловская область,Болховская,102,3,14471,4,1
64237,981,Республика Хакасия,Усть-Абаканская,483,5,32047,4,1
22974,1619,Краснодарский край,Кропоткинская,1349,13,54435,5,1
1312,214,Алтайский край,Троицкая,115,2,38329,4,1
60542,183,Республика Саха (Якутия),Якутская городская,132,5,217641,6,1
3170,1553,Архангельская область,Коряжемская городская,505,13,28824,4,1
34645,2128,Мурманская область,Мурманская,645,28,217833,6,1
73413,298,Свердловская область,Заречная городская,167,7,25071,4,1
70386,629,Саратовская область,Ершовская,260,3,31308,4,1
53754,3124,Республика Бурятия,"Улан-Удэ, Октябрьская",1079,24,138837,5,1
25927,1620,Красноярский край,Норильская городская,814,40,109141,5,1
23982,2190,Краснодарский край,Щербиновская,1264,15,28169,4,1
7825,1367,Волгоградская область,"Волгоград, Кировская",1117,12,68943,5,1
79539,962,Тульская область,Богородицкая,566,13,38436,4,1
85187,1523,Ханты-Мансийский автономный округ - Югра,Нижневартовская городская,904,93,187191,6,1
56283,516,Республика Карелия,Лахденпохская,220,12,11155,4,1
73460,165,Свердловская область,Ирбитская,106,3,22877,4,1
69402,2611,Самарская область,Чапаевская городская,851,48,52486,5,1
85366,795,Челябинская область,Пластовская,506,11,19026,4,1
2334,73,Амурская область,Шимановского района,53,1,4119,3,1
72393,1844,Свердловская область,"Екатеринбург, Чкаловская",550,22,205928,6,1
96251,2095,город Севастополь,Ленинская,1072,19,245986,6,1
24391,314,Красноярский край,Рыбинская,183,3,22394,4,1
43125,274,Оренбургская область,Кувандыкская городская,170,1,33840,4,1
35307,1085,Нижегородская область,"Нижний Новгород, Нижегородская",335,7,101500,5,1
41890,1789,Оренбургская область,"Оренбург, Ленинская",505,16,154668,6,1
76023,2888,Ставропольский край,Ессентукская городская,2135,49,69644,5,1
24232,1742,Красноярский край,"Красноярск, Ленинская",425,14,99273,5,1
50903,648,Республика Башкортостан,Архангельская,557,0,14786,4,1
29611,107,Липецкая область,"Липецк, Советская",98,0,136444,5,1
51035,646,Республика Башкортостан,Иглинская,590,0,47466,4,1
73690,86,Свердловская область,Тугулымская,84,2,16871,4,1
62497,336,Республика Татарстан (Татарстан),Спасская,322,0,73151,5,1
81816,1903,Удмуртская Республика,Глазовская городская,754,16,66759,5,1
43712,843,Орловская область,Малоархангельская,334,18,9178,4,1
66213,1135,Ростовская область,Зверевская городская,509,6,16296,4,1
39684,564,Новосибирская область,Коченевская,277,2,34424,4,1
40111,1921,Омская область,"Омск, Октябрьская",777,19,128370,5,1
27676,656,Курская область,Большесолдатская,366,7,8696,4,1
42044,227,Оренбургская область,Первомайская,137,3,124760,5,1
71060,2246,Саратовская область,"Саратов, Заводская",734,14,157569,6,1
