index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group,Группа
82464,2054,Удмуртская Республика,"Ижевск, Первомайская",760,16,96349,5,1
24548,705,Красноярский край,Березовская - Центральный,230,7,21854,4,1
88049,2559,Чеченская Республика,Урус-Мартановская,2436,0,79379,5,1
28883,1282,Ленинградская область,Сосновоборская городская,602,31,80542,5,1
35877,1012,Нижегородская область,Дальнеконстантиновская,687,13,16280,4,1
68009,488,Самарская область,Большечерниговская,417,8,12597,4,1
5592,880,Брянская область,Климовская,545,15,22829,4,1
70235,559,Саратовская область,Вольская,360,5,61465,5,1
64897,2021,Ростовская область,"Ростов-на-Дону, Железнодорожная",1203,5,69099,5,1
81803,408,Удмуртская Республика,Глазовская,275,4,13975,4,1
40020,935,Омская область,Калачинская,402,14,32879,4,1
8382,78,Волгоградская область,Михайловская,67,0,59591,5,1
42611,92,Оренбургская область,Матвеевская,55,0,9398,4,1
39702,1422,Новосибирская область,Купинская,486,14,22089,4,1
57852,777,Республика Крым,Ленинская,514,11,245986,6,1
30105,930,Липецкая область,Усманская,851,2,36307,4,1
27365,2219,Курская область,"Курск, Центральная №2",732,11,93024,5,1
23858,1216,Краснодарский край,Ленинградская,622,12,47743,4,1
69279,980,Самарская область,Сызранская городская,953,27,125704,5,1
48958,1713,Псковская область,Псковская городская,778,21,164273,6,1
1279,1610,Алтайский край,Сибирская городская,1057,17,7607,4,1
49259,2174,Республика Адыгея (Адыгея),Майкопская городская,1646,10,131966,5,1
61634,274,Республика Татарстан (Татарстан),Буинская,262,5,17218,4,1
60568,2295,Республика Саха (Якутия),Якутская городская,1065,9,217641,6,1
28106,266,Курская область,Советская,162,0,228255,6,1
82424,2129,Удмуртская Республика,"Ижевск, Октябрьская",840,12,104881,5,1
15751,1461,Кабардино-Балкарская Республика,Терская,1324,0,39766,4,1
82381,1860,Удмуртская Республика,"Ижевск, Октябрьская",726,15,104881,5,1
20611,325,Костромская область,Буйская,137,5,8072,4,1
28379,3157,Ленинградская область,Всеволожская,646,8,315637,6,1
17457,1269,Камчатский край,Усть-Большерецкая,607,36,5513,4,1
66305,2499,Ростовская область,Новошахтинская городская,1173,16,74476,5,1
4758,301,Белгородская область,Валуйская,273,6,52633,5,1
68024,512,Самарская область,Большечерниговская,411,4,12597,4,1
26990,364,Курганская область,Шатровская,231,1,12361,4,1
14400,333,Иркутская область,Нукутская,193,3,11367,4,1
64841,1583,Ростовская область,Батайская городская,1019,0,94057,5,1
50604,323,Республика Башкортостан,Мишкинская,285,1,30674,4,1
45235,395,Пермский край,Бардымская,221,17,19301,4,1
74477,1285,Свердловская область,Серовская городская,585,12,65242,5,1
53287,2284,Республика Бурятия,Иволгинская,757,12,40484,4,1
9575,738,Вологодская область,Кирилловская,332,14,12093,4,1
89149,2113,Чувашская Республика - Чувашия,"Чебоксары, Московская",917,22,141975,5,1
47579,1725,Приморский край,Артёмовская городская,366,104,85772,5,1
25519,82,Красноярский край,Байкитская,47,2,4778,3,1
42672,1762,Оренбургская область,"Оренбург, Дзержинская",694,32,123978,5,1
66030,705,Ростовская область,Тарасовская,421,9,21297,4,1
40469,49,Омская область,Марьяновская,29,0,18486,4,1
70789,1452,Саратовская область,Балашовская,1424,28,78990,5,1
79259,380,Томская область,Парабельская,152,5,10207,4,1
54656,344,Республика Дагестан,Сулейман-Стальская,333,0,36177,4,1
6363,1249,Брянская область,Сельцовская городская,653,18,13341,4,1
16303,2094,Калининградская область,"Калининград, Центральная",833,18,128119,5,1
53573,605,Республика Бурятия,Северо-Байкальская,285,7,7706,4,1
86561,1961,Челябинская область,"Челябинск, Ленинская",704,20,134125,5,1
22842,2844,Краснодарский край,Выселковская,1199,33,46381,4,1
7581,1113,Волгоградская область,Еланская,792,11,22035,4,1
62591,536,Республика Татарстан (Татарстан),Чистопольская,494,0,12572,4,1
27320,20,Курская область,"Курск, Центральная №1",19,1,81465,5,1
621,2677,Алтайский край,"Барнаул, Первая Индустриальная",889,18,86207,5,1
39986,156,Омская область,Калачинская,84,0,32879,4,1
27354,2332,Курская область,"Курск, Центральная №2",731,19,93024,5,1
82080,1613,Удмуртская Республика,Кезская,822,32,17118,4,1
41674,532,Омская область,Тарская,284,4,30510,4,1
22982,2251,Краснодарский край,Новопокровская,2031,7,32299,4,1
61060,1821,Республика Татарстан (Татарстан),"Казань, Вахитовская",1249,3,61161,5,1
70922,487,Саратовская область,Лысогорская,281,6,13991,4,1
27023,611,Курганская область,Шумихинская,349,10,21603,4,1
34717,29,Мурманская область,Мурманская,29,0,217833,6,1
54306,1827,Республика Дагестан,Дербентская,1729,0,66665,5,1
30049,143,Липецкая область,Липецкая 115 ок,84,2,24904,4,1
46643,1248,Пермский край,Карагайская,386,16,16687,4,1
60156,1522,Республика Саха (Якутия),Нерюнгринская,1493,29,49279,4,1
50125,1246,Республика Башкортостан,Чишминская,1099,6,39165,4,1
20896,241,Костромская область,Макарьевская,167,4,11328,4,1
31618,1460,Московская область,Красногорская городская,843,10,194268,6,1
66321,5015,Ростовская область,Новошахтинская городская,3918,41,74476,5,1
16786,410,Калужская область,Ферзиковская,367,17,12378,4,1
14441,738,Иркутская область,Свирская,291,3,10786,4,1
35375,12,Нижегородская область,"Нижний Новгород, Нижегородская",12,0,101500,5,1
65925,2464,Ростовская область,Миллеровская,811,21,48605,4,1
24257,1515,Красноярский край,"Красноярск, Ленинская",489,21,99273,5,1
34115,1048,Московская область,Богородская городская,485,27,169141,6,1
35962,1428,Нижегородская область,"Нижний Новгород, Ленинская",377,7,102744,5,1
32206,1116,Московская область,Можайская городская,434,16,55280,5,1
6352,300,Брянская область,Рогнединская,234,0,4810,3,1
38492,86,Новосибирская область,Чановская,55,1,18494,4,1
60315,1628,Республика Саха (Якутия),Таттинская,849,8,10488,4,1
66887,240,Ростовская область,Семикаракорская,142,6,37280,4,1
7013,239,Владимирская область,Александровская,102,4,159385,6,1
35570,52,Нижегородская область,"Нижний Новгород, Советская",52,0,128180,5,1
2822,127,Архангельская область,Онежская,64,1,24580,4,1
68245,1675,Самарская область,"Самара, Октябрьская",775,23,106268,5,1
77087,1311,Тамбовская область,Жердевская,918,0,20765,4,1
10659,166,Воронежская область,Борисоглебская,113,0,64807,5,1
51924,327,Республика Башкортостан,Баймакская,297,1,41451,4,1
17939,215,Кемеровская область - Кузбасс,Кемеровская,163,12,34843,4,1
4862,985,Белгородская область,Губкинская,422,7,81442,5,1
77554,296,Тверская область,Бежецкая,101,5,26256,4,1
81586,132,Тюменская область,Упоровская,99,0,14816,4,1
32648,552,Московская область,Орехово-Зуевская городская,308,1,105577,5,1
86307,129,Челябинская область,Еткульская,47,1,20500,4,1
61602,75,Республика Татарстан (Татарстан),Буинская,73,0,17218,4,1
531,1316,Алтайский край,Алейская городская,562,15,21076,4,1
78268,2293,Тверская область,Калининская-180,667,8,21674,4,1
41542,95,Омская область,ТИК по Нижнеомскому району,61,0,12036,4,1
40361,293,Омская область,ТИК по Павлоградскому району,163,8,13715,4,1
13810,105,Иркутская область,Качугская,45,0,13589,4,1
32660,2087,Московская область,Орехово-Зуевская городская № 2,747,26,73131,5,1
66913,823,Ростовская область,Усть-Донецкая,713,0,18876,4,1
75345,150,Смоленская область,Шумячская,98,2,8300,4,1
60877,798,Республика Северная Осетия - Алания,ТИК Правобережной части г.Владикавказа,674,5,107896,5,1
41810,834,Оренбургская область,Новосергиевская,382,8,26133,4,1
34953,308,Ненецкий автономный округ,Заполярная,76,2,18486,4,1
61770,597,Республика Татарстан (Татарстан),Зеленодольская,498,11,50513,5,1
72415,2168,Свердловская область,"Екатеринбург, Чкаловская",879,22,205928,6,1
77222,866,Тамбовская область,Мордовская,494,6,12972,4,1
3136,225,Архангельская область,Вилегодская,158,4,8730,4,1
74351,2111,Свердловская область,Лесная городская,1142,24,41168,4,1
23604,1423,Краснодарский край,Успенская,1369,0,29472,4,1
35215,232,Нижегородская область,Кстовская,124,0,94238,5,1
32916,1733,Московская область,Домодедовская городская,656,34,142017,5,1
74336,1277,Свердловская область,Лесная городская,687,21,41168,4,1
15769,2608,Кабардино-Балкарская Республика,Урванская,2325,0,43656,4,1
7234,1151,Владимирская область,Петушинская,368,13,49119,4,1
52361,261,Республика Башкортостан,Стерлибашевская,201,0,15252,4,1
90113,505,Ярославская область,Переславская,180,8,15217,4,1
82181,1073,Удмуртская Республика,Якшур-Бодьинская,571,17,16878,4,1
57756,679,Республика Крым,Кировская,344,6,226653,6,1
2169,89,Амурская область,Ромненского округа,69,2,6763,4,1
53897,1022,Республика Дагестан,Бабаюртовская,955,13,28442,4,1
20368,961,Кировская область,Малмыжская,439,20,19709,4,1
24598,62,Красноярский край,Емельяновская,42,0,40771,4,1
66781,352,Ростовская область,Морозовская,322,1,30218,4,1
15994,566,Калининградская область,"Калининград, Ленинградская",553,12,176446,6,1
62557,323,Республика Татарстан (Татарстан),Черемшанская,319,0,14144,4,1
6538,517,Владимирская область,Вязниковская,194,7,60307,5,1
38453,55,Новосибирская область,Усть-Таркская,30,0,8592,4,1
71011,1601,Саратовская область,Самойловская,779,12,14128,4,1
41049,399,Омская область,Любинская,350,4,28416,4,1
60667,2153,Республика Северная Осетия - Алания,ТИК Кировского района,1823,9,18790,4,1
3985,1935,Астраханская область,Лиманская,800,25,22584,4,1
19708,204,Кировская область,Лузская,142,1,12880,4,1
5611,917,Брянская область,Комаричская,810,0,12373,4,1
13282,1209,Ивановская область,"Иваново, Ленинская",356,0,111008,5,1
65993,484,Ростовская область,Советская,306,4,228255,6,1
96207,2129,город Севастополь,Гагаринская,588,7,141244,5,1
79856,293,Тульская область,Суворовская,215,6,25052,4,1
86873,638,Челябинская область,Карталинская,510,14,32748,4,1
76111,1391,Ставропольский край,Лермонтовская городская,675,21,17424,4,1
42158,246,Оренбургская область,Сорочинская городская,146,0,32663,4,1
83900,819,Хабаровский край,Вяземская,350,11,78700,5,1
2925,1649,Архангельская область,Северодвинская городская № 1,726,13,72838,5,1
58561,908,Республика Марий Эл,Звениговская,377,12,32906,4,1
87857,2697,Чеченская Республика,Гудермесская,2607,1,86597,5,1
71003,316,Саратовская область,Ртищевская,302,0,39421,4,1
38811,2098,Новосибирская область,"Новосибирск, Октябрьская",638,6,176552,6,1
75711,1380,Ставропольский край,Изобильненская,860,25,69062,5,1
62488,720,Республика Татарстан (Татарстан),Спасская,670,12,73151,5,1
76163,768,Ставропольский край,Минераловодская,615,1,95085,5,1
33328,1653,Московская область,Королевская городская,513,10,176718,6,1
33306,1552,Московская область,Королевская городская,451,6,176718,6,1
57740,1783,Республика Крым,Кировская,989,15,226653,6,1
58149,2128,Республика Крым,Евпаторийская городская,970,30,87407,5,1
20617,257,Костромская область,Буйская,135,0,8072,4,1
84317,597,Хабаровский край,Верхнебуреинская,173,8,19920,4,1
26843,1029,Курганская область,Целинная,428,14,37913,4,1
2319,238,Амурская область,Тындинского округа,193,5,10327,4,1
89498,2243,Ямало-Ненецкий автономный округ,Ноябрьская городская,1487,55,73464,5,1
14611,2206,Иркутская область,"Иркутск, Иркутская городская № 4",654,24,151178,6,1
69034,1233,Самарская область,Безенчукская,759,19,29274,4,1
17027,1992,Калужская область,Кировская,785,18,226653,6,1
35173,2087,Нижегородская область,Кстовская,703,14,94238,5,1
65317,1950,Ростовская область,Таганрогская городская (западная),628,16,105617,5,1
57004,1883,Республика Коми,Сыктывкарская городская,788,18,148801,5,1
37399,391,Нижегородская область,Чкаловск округ,225,2,16079,4,1
83412,170,Ульяновская область,Майнская,139,0,19675,4,1
43831,1705,Орловская область,"Орел, Железнодорожная",658,44,48560,4,1
74226,846,Свердловская область,Ивдельская городская,386,18,13654,4,1
35802,1970,Нижегородская область,Арзамас округ,681,0,76055,5,1
57834,231,Республика Крым,Красногвардейская,138,3,155017,6,1
57655,2168,Республика Крым,Ялтинская городская,1326,27,108062,5,1
47510,934,Приморский край,Ханкайская,344,15,15727,4,1
42564,210,Оренбургская область,Красногвардейская,120,1,155017,6,1
31587,1287,Московская область,Красногорская городская,355,16,194268,6,1
