index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group
49783,1220,Республика Башкортостан,Кармаскалинская,964,20,38394,4
35940,96,Нижегородская область,Лукояновская,84,0,18371,4
87949,1066,Чеченская Республика,Надтеречная,1040,0,37892,4
79783,1206,Тульская область,Ленинская - 183,430,15,24602,4
14430,755,Иркутская область,Свирская,325,13,10786,4
8908,132,Вологодская область,Бабушкинская,69,0,9631,4
15198,2611,Иркутская область,Братская городская,805,29,165865,6
7393,1782,Владимирская область,Юрьев-Польская,674,14,25249,4
44791,307,Пензенская область,Вадинская,244,2,6311,4
18947,34,Кемеровская область - Кузбасс,Ленинск-Кузнецкая городская,31,1,73856,5
93848,1694,город Москва,район Черемушки,463,7,49771,4
93823,2047,город Москва,район Теплый Стан,576,7,61909,5
24110,127,Красноярский край,Канская,73,2,16102,4
13204,346,Ивановская область,Заволжская,142,6,13972,4
85764,2121,Челябинская область,"Челябинск, Курчатовская",665,7,168354,6
22212,893,Краснодарский край,"Новороссийск, Центральная",703,14,48797,4
27425,485,Курская область,Курчатовская,208,3,12283,4
71655,18,Сахалинская область,Корсаковская,18,0,35325,4
71509,1642,Саратовская область,Энгельсская,739,0,218814,6
42997,726,Оренбургская область,Гайская городская,394,7,37144,4
82697,1263,Удмуртская Республика,Сарапульская,611,6,17977,4
63290,1887,Республика Татарстан (Татарстан),Бугульминская городская,1832,15,63588,5
49688,276,Республика Башкортостан,Буздякская,190,5,21259,4
19248,1355,Кемеровская область - Кузбасс,"Новокузнецк, Орджоникидзевская",1085,8,59104,5
11192,537,Воронежская область,Верхнемамонская,398,4,14659,4
35916,177,Нижегородская область,Дивеевская,170,0,11911,4
80939,1126,Тюменская область,"Тюмень, Ленинская",465,10,118856,5
16854,246,Калужская область,Боровская,200,0,47647,4
22474,177,Краснодарский край,Апшеронская,161,1,58801,5
79803,385,Тульская область,Одоевская,277,7,8914,4
59722,214,Республика Мордовия,Торбеевская,185,0,14140,4
61942,1524,Республика Татарстан (Татарстан),"Казань, Московская",823,4,90794,5
55368,2199,Республика Дагестан,Новолакская,2126,0,23323,4
51974,79,Республика Башкортостан,Бурзянская,60,2,12005,4
71661,4,Сахалинская область,Корсаковская,4,0,35325,4
3094,19,Архангельская область,"Архангельск, Южная",19,0,59932,5
1899,140,Амурская область,Благовещенского района,67,0,23875,4
61058,1224,Республика Татарстан (Татарстан),"Казань, Вахитовская",792,17,61161,5
19914,356,Кировская область,Слободская,180,2,24512,4
90995,2197,город Москва,Тимирязевский район,759,17,38255,4
15537,1014,Кабардино-Балкарская Республика,Зольская,885,0,29167,4
14580,2811,Иркутская область,"Иркутск, Иркутская городская № 4",1067,17,151178,6
34067,1174,Московская область,Богородская городская,398,19,169141,6
41044,157,Омская область,Любинская,141,0,28416,4
55896,2419,Республика Ингушетия,Назрановская,2111,5,58682,5
34797,0,Мурманская область,Мурманская,0,0,217833,6
62511,138,Республика Татарстан (Татарстан),Спасская,134,2,73151,5
27374,33,Курская область,"Курск, Центральная №2",33,0,93024,5
15297,27,Иркутская область,Киренская,3,0,15122,4
90021,193,Ярославская область,Брейтовская,121,4,4977,3
5299,1606,Белгородская область,Шебекинская,706,20,69611,5
39488,118,Новосибирская область,Сузунская,98,1,23263,4
22116,1666,Краснодарский край,Горячеключевская,1203,12,51383,5
77543,1371,Тверская область,Бежецкая,489,21,26256,4
49224,2123,Республика Адыгея (Адыгея),Майкопская городская,1241,13,131966,5
19690,146,Кировская область,Котельничская,71,8,11421,4
45156,1949,Пензенская область,"Пенза, Октябрьская",876,16,147093,5
5255,112,Белгородская область,Чернянская,92,0,24092,4
56786,254,Республика Коми,Койгородская,140,4,6808,4
78799,151,Томская область,Первомайская,66,2,124760,5
40402,674,Омская область,ТИК по Русско-Полянскому району,292,26,14335,4
17447,230,Камчатский край,Тигильская,108,8,5367,4
24119,268,Красноярский край,Канская,106,3,16102,4
67937,228,Рязанская область,Ухоловская,164,0,7576,4
60200,381,Республика Саха (Якутия),Оймяконская,79,5,6793,4
66660,278,Ростовская область,Зимовниковская,189,4,22967,4
30511,2130,Московская область,Мытищинская городская,814,34,183098,6
76425,1381,Ставропольский край,Георгиевская городская,469,24,43319,4
82625,108,Удмуртская Республика,Малопургинская,99,1,24293,4
70273,302,Саратовская область,Вольская,240,3,61465,5
67858,213,Рязанская область,Сапожковская,112,0,7819,4
16491,537,Калужская область,Жуковская,259,2,65303,5
34115,1048,Московская область,Богородская городская,485,27,169141,6
65022,600,Ростовская область,Куйбышевская,277,11,68035,5
4005,775,Астраханская область,Наримановская,307,6,33697,4
29078,494,Ленинградская область,Лодейнопольская,285,19,22816,4
74103,1158,Свердловская область,Ревдинская,614,26,47745,4
1788,679,Алтайский край,Тюменцевская,353,9,10065,4
95246,3201,город Санкт-Петербург,Территориальная избирательная комиссия №56,877,11,60516,5
48588,1347,Псковская область,Великолукская городская,494,19,74216,5
31200,1725,Московская область,Коломенская городская,825,14,154144,6
75720,1253,Ставропольский край,Изобильненская,613,21,69062,5
47574,1380,Приморский край,Артёмовская городская,524,13,85772,5
93635,636,город Москва,Академический район,629,7,46646,4
46040,524,Пермский край,Чусовская,191,20,48892,4
87067,1168,Челябинская область,"Магнитогорск, Правобережная",486,13,83155,5
70395,197,Саратовская область,Ершовская,117,1,31308,4
59895,384,Республика Саха (Якутия),Верхоянская,228,3,7943,4
3575,1327,Астраханская область,"Астрахань, Кировская",309,6,84512,5
58967,468,Республика Марий Эл,Советская,210,7,228255,6
39697,1994,Новосибирская область,Коченевская,618,15,34424,4
49510,155,Республика Алтай,Онгудайская,108,2,11323,4
5974,1868,Брянская область,"Брянск, Бежицкая",1102,5,120783,5
57248,2200,Республика Коми,Ухтинская городская,825,29,82143,5
74930,1555,Смоленская область,Темкинская,693,24,4272,3
88844,349,Чувашская Республика - Чувашия,Аликовская,247,12,12903,4
22400,627,Краснодарский край,Туапсинская районная,510,0,45160,4
65542,1891,Ростовская область,"Ростов-на-Дону, Первомайская",622,17,128535,5
74254,1577,Свердловская область,Качканарская городская,991,26,31062,4
14186,2163,Иркутская область,Ангарская,636,26,180158,6
43700,1554,Орловская область,Ливенская городская,664,31,36713,4
36983,647,Нижегородская область,Бор округ,324,2,94258,5
17925,2199,Кемеровская область - Кузбасс,"Кемерово, Центральная",1735,130,78419,5
53883,132,Республика Бурятия,Хоринская,93,0,12662,4
90651,1837,город Москва,район Сокольники,643,17,29584,4
68934,4265,Самарская область,"Самара, Красноглинская",4145,120,89628,5
9912,1345,Воронежская область,"Воронеж, Железнодорожная",475,9,116057,5
93012,1768,город Москва,район Хорошево-Мневники,556,7,80810,5
24368,1378,Красноярский край,Рыбинская,483,30,22394,4
42636,135,Оренбургская область,Октябрьская,108,0,308508,6
64097,1514,Республика Хакасия,Аскизская,475,11,28671,4
57969,1990,Республика Крым,"Симферополь, Киевская",992,11,122742,5
8955,981,Вологодская область,Великоустюгская,434,27,42616,4
56859,326,Республика Коми,Печорская городская,114,3,41029,4
56531,171,Республика Карелия,Прионежская,51,0,20464,4
49029,2185,Псковская область,Псковская городская,962,15,164273,6
93081,1638,город Москва,район Южное Тушино,468,9,47860,4
66539,1185,Ростовская область,Волгодонская,417,13,22311,4
71560,1937,Саратовская область,Энгельсская,1573,8,218814,6
78200,992,Тверская область,Западнодвинская,492,6,12299,4
65839,522,Ростовская область,Каменская,378,3,155560,6
8499,417,Волгоградская область,Урюпинская,309,1,18421,4
58457,519,Республика Крым,Черноморская,349,5,25443,4
70025,1864,Саратовская область,"Саратов, Ленинская",1074,2,207581,6
8180,1348,Волгоградская область,Алексеевская,1065,19,87972,5
19007,288,Кемеровская область - Кузбасс,Промышленновская,255,6,32246,4
95971,1960,город Санкт-Петербург,Территориальная избирательная комиссия №3,651,13,43473,4
34478,99,Мурманская область,Кольская,21,0,29586,4
27373,22,Курская область,"Курск, Центральная №2",22,0,93024,5
88555,188,Чувашская Республика - Чувашия,Цивильская,127,4,24601,4
82741,1438,Удмуртская Республика,Сарапульская городская,561,12,70724,5
83983,150,Хабаровский край,Лазовская,94,0,46557,4
84921,1288,Ханты-Мансийский автономный округ - Югра,Урайская городская,631,38,27997,4
74416,1717,Свердловская область,Североуральская городская,793,22,32375,4
33325,378,Московская область,Королевская городская,367,11,176718,6
899,825,Алтайский край,Шипуновская,287,32,22312,4
48028,185,Приморский край,Дальнереченская,166,4,7906,4
33826,1273,Московская область,Серпуховская городская,551,17,137786,5
48065,980,Приморский край,Дальнереченская городская,342,27,21820,4
70015,2173,Саратовская область,"Саратов, Ленинская",634,10,207581,6
55332,541,Республика Дагестан,Левашинская,490,0,52345,5
21170,2020,Краснодарский край,Динская,1776,0,108556,5
45053,1122,Пензенская область,"Пенза, Железнодорожная",465,8,86144,5
18002,966,Кемеровская область - Кузбасс,Тайгинская городская,870,40,14854,4
79544,1826,Тульская область,Богородицкая,617,24,38436,4
11561,202,Воронежская область,Россошанская,103,6,68290,5
9743,2310,Вологодская область,Череповецкая городская,914,17,242671,6
72174,963,Свердловская область,"Екатеринбург, Железнодорожная",548,18,112993,5
52792,530,Республика Башкортостан,Ишимбайская,520,5,66784,5
61327,735,Республика Татарстан (Татарстан),Мамадышская,717,5,31937,4
9595,364,Вологодская область,Усть-Кубинская,220,4,6465,4
74454,620,Свердловская область,Серовская,294,11,8923,4
2827,1028,Архангельская область,Онежская,324,6,24580,4
10129,119,Воронежская область,Лискинская,84,2,81739,5
77640,354,Тверская область,Калязинская,171,4,15744,4
83007,368,Ульяновская область,Старомайнская,269,0,13170,4
37314,241,Нижегородская область,Сокольский округ,196,0,9941,4
59935,371,Республика Саха (Якутия),Вилюйская,224,2,18038,4
68632,390,Самарская область,Камышлинская,388,0,6798,4
72695,1971,Свердловская область,Березовская городская,856,49,94119,5
65507,2549,Ростовская область,"Ростов-на-Дону, Ворошиловская",853,14,143049,5
51035,646,Республика Башкортостан,Иглинская,590,0,47466,4
82644,709,Удмуртская Республика,Можгинская,450,9,19513,4
6620,322,Владимирская область,Гусь-Хрустальная,125,3,32293,4
59169,1348,Республика Мордовия,Зубово-Полянская,853,20,29972,4
19947,164,Кировская область,Фаленская,90,5,8345,4
70061,1812,Саратовская область,"Саратов, Фрунзенская",997,6,38213,4
13069,2378,Ивановская область,Тейковская городская,880,25,26663,4
24007,167,Красноярский край,Березовская,80,1,36151,4
70228,1462,Саратовская область,Вольская,735,0,61465,5
49020,1275,Псковская область,Псковская городская,488,12,164273,6
44429,1617,Пензенская область,"Пенза, Ленинская",622,10,71446,5
7867,2442,Волгоградская область,"Волгоград, Красноармейская",1727,0,116356,5
35789,1208,Нижегородская область,Арзамас округ,700,4,76055,5
32687,409,Московская область,Орехово-Зуевская городская № 2,195,7,73131,5
780,182,Алтайский край,Романовская,93,3,20140,4
13165,546,Ивановская область,Вичугская,236,0,13498,4
83692,1930,Ульяновская область,"Ульяновск, Засвияжская N1",576,17,75070,5
56425,1209,Республика Карелия,Петрозаводская городская №1,467,18,108274,5
35109,506,Нижегородская область,Княгининская,287,8,8114,4
35221,1385,Нижегородская область,Лысковская,742,6,27671,4
28465,186,Ленинградская область,Выборгская,65,8,149094,5
12602,506,Забайкальский край,Петровск-Забайкальская городская,201,5,12406,4
59266,120,Республика Мордовия,Ичалковская,101,0,13874,4
11711,451,Еврейская автономная область,Ленинская,378,13,245986,6
26865,408,Курганская область,Целинная,264,5,37913,4
84479,534,Хабаровский край,Солнечная,195,10,22172,4
93050,1947,город Москва,район Щукино,686,20,50229,5
16030,677,Калининградская область,Неманская,312,18,14180,4
15250,1067,Иркутская область,Братская городская,261,8,165865,6
69206,494,Самарская область,Сызранская,310,7,17912,4
55636,221,Республика Дагестан,Цумадинская,201,0,15650,4
1978,113,Амурская область,Зейского района,81,0,13207,4
76927,1129,Тамбовская область,Сосновская,859,4,101674,5
31138,1252,Московская область,Зарайская городская,695,33,29574,4
5914,1381,Брянская область,Трубчевская,1150,2,25719,4
57881,2392,Республика Крым,Нижнегорская,1078,38,37269,4
37812,180,Новгородская область,Парфинская,112,5,9369,4
26625,437,Курганская область,Лебяжьевская,183,5,11294,4
62770,101,Республика Татарстан (Татарстан),Мензелинская,89,0,21158,4
98,1999,Алтайский край,"Барнаул, Центральная",861,24,105130,5
47101,2494,Приморский край,"Владивосток, Первомайская",709,30,108353,5
15601,1521,Кабардино-Балкарская Республика,Нальчикская городская,1239,4,167909,6
18029,186,Кемеровская область - Кузбасс,Тисульская,161,0,15312,4
33300,1685,Московская область,Королевская городская,623,16,176718,6
28509,850,Ленинградская область,Выборгская,478,34,149094,5
57425,1545,Республика Крым,Белогорская,703,28,47523,4
80069,2207,Тульская область,Щекинская,1213,28,77984,5
